Asmodeo	Pecado: lujuria
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




Belfegor	Pecado: gula
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




Mammón	Pecado: avaricia
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




Abadón	Pecado: pereza
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




Satán	Pecado: ira
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




Belcebú	Pecado: envidia
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




Lucifer	Pecado: soberbia
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




